City,Temperature (DegF),Cloudiness (%),Latitude,Longitude,Humidity (%),Wind Speed (mps)
Butembo,286.82,100,0.15,29.28,100,0.57
Urengoy,286.47,100,65.97,78.37,40,11.63
Amahai,303.15,83,-3.33,128.92,86,0.45
Kahului,298.36,20,20.89,-156.47,48,10.8
Mahibadhoo,302.5,52,3.78,72.97,73,5.05
Alyangula,303.15,90,-13.85,136.42,66,2.1
Abu Dhabi,303.92,0,24.47,54.37,84,1.5
Maniitsoq,277.71,100,65.42,-52.9,92,3.74
Bima,303.76,71,-8.47,118.72,66,1.82
Bereda,285.37,90,43.27,-7.54,1,0.89
Coxim,295.34,0,-18.51,-54.76,72,1.53
Teya,290.13,100,60.38,92.63,87,3.02
San Fernando del Valle de Catamarca,282.45,0,-28.47,-65.79,57,1.79
Nanyamba,295.15,20,-10.68,39.83,88,7.7
Ketchikan,285.15,90,55.34,-131.65,93,5.7
Waipawa,284.71,0,-41.41,175.52,71,2.6
Abonnema,297.59,100,4.71,6.79,94,2.55
St. George's,301.15,40,12.06,-61.75,74,6.2
Husavik,280.23,93,66.04,-17.34,71,1.7
Sitka,285.15,90,57.05,-135.33,87,3.1
Baker City,282.35,90,44.77,-117.83,76,2.1
Cayenne,297.15,90,4.93,-52.33,100,0.85
Isla Mujeres,299.19,40,21.23,-86.73,100,1.37
Ponta Delgada,286.15,20,37.73,-25.67,82,2.6
Seymchan,296.64,91,62.88,152.43,29,0.78
Vanimo,303.61,90,-2.67,141.3,64,3.51
Paracuru,298.71,52,-3.41,-39.03,81,0.89
Novy Urengoy,284.88,81,66.08,76.63,43,11.6
Bonavista,289.26,30,48.65,-53.11,81,0.45
Arrondissement de Troyes,286.15,99,48.33,4.08,87,3.6
Acapulco de Juárez,302.15,75,16.86,-99.89,79,2.6
Makkah al Mukarramah,304.25,65,21.43,39.83,25,2.07
Poum,297.62,1,-20.23,164.02,73,6.4
Kupang,305.15,20,-10.17,123.58,49,10.8
Cody,298.81,1,44.53,-109.06,19,3.6
Karaton,303.91,40,-6.34,106.1,66,2.6
Lagoa,289.03,64,39.05,-27.98,73,6.12
Sandwick,285.15,74,60.0,-1.25,93,3.1
